Frame,Tiempo (Segundos),Objeto,Confianza (%),Nivel de Riesgo
0,0.0,Vehiculo,94.7,MEDIO
1,0.03,Vehiculo,94.9,MEDIO
2,0.07,Vehiculo,95.0,MEDIO
3,0.1,Vehiculo,95.0,MEDIO
4,0.13,Vehiculo,95.0,MEDIO
5,0.17,Vehiculo,95.0,MEDIO
6,0.2,Vehiculo,95.0,MEDIO
7,0.23,Vehiculo,95.0,MEDIO
8,0.27,Vehiculo,95.0,MEDIO
9,0.3,Vehiculo,95.0,MEDIO
10,0.33,Vehiculo,95.0,MEDIO
11,0.37,Vehiculo,95.0,MEDIO
12,0.4,Vehiculo,95.0,MEDIO
13,0.43,Vehiculo,94.9,MEDIO
14,0.47,Vehiculo,94.9,MEDIO
15,0.5,Vehiculo,95.0,MEDIO
16,0.53,Vehiculo,95.0,MEDIO
17,0.57,Vehiculo,94.8,MEDIO
18,0.6,Vehiculo,94.8,MEDIO
19,0.63,Vehiculo,94.8,MEDIO
20,0.67,Vehiculo,94.8,MEDIO
21,0.7,Vehiculo,94.8,MEDIO
22,0.73,Vehiculo,94.9,MEDIO
23,0.77,Vehiculo,94.7,MEDIO
24,0.8,Vehiculo,94.8,MEDIO
25,0.83,Vehiculo,94.8,MEDIO
26,0.87,Vehiculo,94.7,MEDIO
27,0.9,Vehiculo,94.8,MEDIO
28,0.93,Vehiculo,94.9,MEDIO
29,0.97,Vehiculo,94.8,MEDIO
30,1.0,Vehiculo,94.8,MEDIO
31,1.03,Vehiculo,94.8,MEDIO
32,1.07,Vehiculo,94.7,MEDIO
33,1.1,Vehiculo,94.8,MEDIO
34,1.13,Vehiculo,94.7,MEDIO
35,1.17,Vehiculo,94.7,MEDIO
36,1.2,Vehiculo,94.6,MEDIO
37,1.23,Vehiculo,94.6,MEDIO
38,1.27,Vehiculo,94.6,MEDIO
39,1.3,Vehiculo,94.6,MEDIO
40,1.33,Vehiculo,94.7,MEDIO
41,1.37,Vehiculo,94.7,MEDIO
42,1.4,Vehiculo,94.8,MEDIO
43,1.43,Vehiculo,94.8,MEDIO
44,1.47,Vehiculo,94.7,MEDIO
45,1.5,Vehiculo,94.7,MEDIO
46,1.53,Vehiculo,94.7,MEDIO
47,1.57,Vehiculo,94.6,MEDIO
48,1.6,Vehiculo,94.7,MEDIO
49,1.63,Vehiculo,94.6,MEDIO
50,1.67,Vehiculo,94.5,MEDIO
51,1.7,Vehiculo,94.6,MEDIO
52,1.73,Vehiculo,94.6,MEDIO
53,1.77,Vehiculo,94.8,MEDIO
54,1.8,Vehiculo,94.7,MEDIO
55,1.83,Vehiculo,94.7,MEDIO
56,1.87,Vehiculo,94.6,MEDIO
57,1.9,Vehiculo,94.5,MEDIO
58,1.93,Vehiculo,94.5,MEDIO
59,1.97,Vehiculo,94.5,MEDIO
60,2.0,Vehiculo,94.5,MEDIO
61,2.03,Vehiculo,94.5,MEDIO
62,2.07,Vehiculo,94.5,MEDIO
63,2.1,Vehiculo,94.5,MEDIO
64,2.13,Vehiculo,94.6,MEDIO
65,2.17,Vehiculo,94.6,MEDIO
66,2.2,Vehiculo,94.6,MEDIO
67,2.23,Vehiculo,94.6,MEDIO
68,2.27,Vehiculo,94.7,MEDIO
69,2.3,Vehiculo,94.5,MEDIO
70,2.33,Vehiculo,94.5,MEDIO
71,2.37,Vehiculo,94.4,MEDIO
72,2.4,Vehiculo,94.4,MEDIO
73,2.43,Vehiculo,94.4,MEDIO
74,2.47,Vehiculo,94.5,MEDIO
75,2.5,Vehiculo,94.6,MEDIO
76,2.53,Vehiculo,94.6,MEDIO
77,2.57,Vehiculo,94.5,MEDIO
78,2.6,Vehiculo,94.6,MEDIO
79,2.63,Vehiculo,94.5,MEDIO
80,2.67,Vehiculo,94.5,MEDIO
81,2.7,Vehiculo,94.5,MEDIO
82,2.73,Vehiculo,94.5,MEDIO
83,2.77,Vehiculo,94.5,MEDIO
84,2.8,Vehiculo,94.6,MEDIO
85,2.83,Vehiculo,94.5,MEDIO
86,2.87,Vehiculo,94.4,MEDIO
87,2.9,Vehiculo,94.4,MEDIO
88,2.93,Vehiculo,94.4,MEDIO
89,2.97,Vehiculo,94.5,MEDIO
90,3.0,Vehiculo,94.4,MEDIO
91,3.03,Vehiculo,94.2,MEDIO
92,3.07,Vehiculo,94.3,MEDIO
93,3.1,Vehiculo,94.1,MEDIO
94,3.13,Vehiculo,94.2,MEDIO
95,3.17,Vehiculo,94.3,MEDIO
96,3.2,Vehiculo,94.2,MEDIO
97,3.23,Vehiculo,94.1,MEDIO
98,3.27,Vehiculo,94.2,MEDIO
99,3.3,Vehiculo,94.1,MEDIO
100,3.33,Vehiculo,94.3,MEDIO
101,3.37,Vehiculo,94.4,MEDIO
102,3.4,Vehiculo,94.5,MEDIO
