Frame,Tiempo (Segundos),Objeto,Confianza (%),Nivel de Riesgo
0,0.0,Vehiculo,88.0,MEDIO
1,0.03,Vehiculo,92.7,MEDIO
1,0.03,Vehiculo,91.1,MEDIO
2,0.07,Vehiculo,92.4,MEDIO
2,0.07,Vehiculo,91.1,MEDIO
3,0.1,Vehiculo,92.5,MEDIO
3,0.1,Vehiculo,91.4,MEDIO
4,0.13,Vehiculo,92.5,MEDIO
4,0.13,Vehiculo,91.6,MEDIO
5,0.17,Vehiculo,92.0,MEDIO
5,0.17,Vehiculo,91.5,MEDIO
6,0.2,Vehiculo,91.8,MEDIO
6,0.2,Vehiculo,91.5,MEDIO
7,0.23,Vehiculo,92.4,MEDIO
8,0.27,Vehiculo,92.6,MEDIO
9,0.3,Vehiculo,91.5,MEDIO
9,0.3,Vehiculo,91.4,MEDIO
10,0.33,Vehiculo,91.6,MEDIO
10,0.33,Peaton,67.9,CRÍTICO
11,0.37,Vehiculo,91.3,MEDIO
11,0.37,Peaton,67.2,CRÍTICO
12,0.4,Vehiculo,91.5,MEDIO
12,0.4,Peaton,57.1,CRÍTICO
13,0.43,Vehiculo,91.5,MEDIO
13,0.43,Peaton,63.2,CRÍTICO
14,0.47,Vehiculo,91.0,MEDIO
14,0.47,Peaton,58.7,CRÍTICO
15,0.5,Vehiculo,91.5,MEDIO
15,0.5,Peaton,49.7,CRÍTICO
16,0.53,Vehiculo,90.6,MEDIO
17,0.57,Vehiculo,91.5,MEDIO
17,0.57,Peaton,51.2,CRÍTICO
18,0.6,Vehiculo,89.3,MEDIO
19,0.63,Vehiculo,86.6,MEDIO
20,0.67,Vehiculo,89.2,MEDIO
21,0.7,Vehiculo,90.2,MEDIO
21,0.7,Peaton,56.9,CRÍTICO
22,0.73,Vehiculo,90.0,MEDIO
23,0.77,Vehiculo,90.3,MEDIO
24,0.8,Vehiculo,89.7,MEDIO
25,0.83,Vehiculo,90.3,MEDIO
26,0.87,Vehiculo,89.8,MEDIO
27,0.9,Vehiculo,89.6,MEDIO
27,0.9,Peaton,64.7,CRÍTICO
28,0.93,Peaton,61.4,CRÍTICO
29,0.97,Peaton,54.1,CRÍTICO
30,1.0,Peaton,53.3,CRÍTICO
31,1.03,Peaton,51.6,CRÍTICO
32,1.07,Vehiculo,88.1,MEDIO
32,1.07,Peaton,51.4,CRÍTICO
33,1.1,Vehiculo,86.4,MEDIO
87,2.9,Vehiculo,85.9,MEDIO
88,2.93,Vehiculo,87.5,MEDIO
89,2.97,Vehiculo,87.9,MEDIO
90,3.0,Vehiculo,86.6,MEDIO
91,3.03,Vehiculo,86.6,MEDIO
92,3.07,Vehiculo,85.4,MEDIO
93,3.1,Vehiculo,85.4,MEDIO
94,3.13,Vehiculo,86.5,MEDIO
95,3.17,Vehiculo,87.6,MEDIO
96,3.2,Vehiculo,88.1,MEDIO
97,3.23,Vehiculo,87.7,MEDIO
98,3.27,Vehiculo,87.8,MEDIO
99,3.3,Vehiculo,87.9,MEDIO
100,3.33,Vehiculo,90.6,MEDIO
101,3.37,Vehiculo,91.6,MEDIO
102,3.4,Vehiculo,92.5,MEDIO
103,3.43,Vehiculo,92.8,MEDIO
104,3.47,Vehiculo,90.5,MEDIO
105,3.5,Vehiculo,91.4,MEDIO
106,3.53,Vehiculo,92.8,MEDIO
107,3.57,Vehiculo,93.4,MEDIO
108,3.6,Vehiculo,93.8,MEDIO
109,3.63,Vehiculo,93.6,MEDIO
110,3.67,Vehiculo,93.3,MEDIO
111,3.7,Vehiculo,93.3,MEDIO
112,3.73,Vehiculo,92.8,MEDIO
113,3.77,Vehiculo,91.8,MEDIO
114,3.8,Vehiculo,92.2,MEDIO
115,3.83,Vehiculo,91.4,MEDIO
116,3.87,Vehiculo,91.7,MEDIO
117,3.9,Vehiculo,93.5,MEDIO
118,3.93,Vehiculo,89.1,MEDIO
119,3.97,Vehiculo,91.6,MEDIO
120,4.0,Vehiculo,93.2,MEDIO
121,4.03,Vehiculo,93.6,MEDIO
122,4.07,Vehiculo,93.5,MEDIO
123,4.1,Vehiculo,93.0,MEDIO
124,4.13,Vehiculo,93.2,MEDIO
125,4.17,Vehiculo,93.4,MEDIO
126,4.2,Vehiculo,91.3,MEDIO
127,4.23,Vehiculo,92.2,MEDIO
128,4.27,Vehiculo,92.7,MEDIO
129,4.3,Vehiculo,92.6,MEDIO
130,4.33,Vehiculo,92.9,MEDIO
131,4.37,Vehiculo,92.5,MEDIO
132,4.4,Vehiculo,92.8,MEDIO
133,4.43,Vehiculo,92.9,MEDIO
134,4.47,Vehiculo,93.0,MEDIO
135,4.5,Vehiculo,93.0,MEDIO
136,4.53,Vehiculo,92.8,MEDIO
137,4.57,Vehiculo,92.3,MEDIO
138,4.6,Vehiculo,92.2,MEDIO
139,4.63,Vehiculo,92.0,MEDIO
140,4.67,Vehiculo,91.9,MEDIO
141,4.7,Vehiculo,91.7,MEDIO
142,4.73,Vehiculo,92.4,MEDIO
143,4.77,Vehiculo,91.9,MEDIO
144,4.8,Vehiculo,92.1,MEDIO
145,4.83,Vehiculo,91.7,MEDIO
146,4.87,Vehiculo,91.7,MEDIO
147,4.9,Vehiculo,91.6,MEDIO
148,4.93,Vehiculo,86.2,MEDIO
149,4.97,Vehiculo,91.7,MEDIO
150,5.0,Vehiculo,91.6,MEDIO
292,9.73,Vehiculo,91.6,MEDIO
293,9.77,Vehiculo,87.9,MEDIO
295,9.83,Vehiculo,92.2,MEDIO
296,9.87,Vehiculo,92.2,MEDIO
297,9.9,Vehiculo,87.3,MEDIO
298,9.93,Vehiculo,90.2,MEDIO
299,9.97,Vehiculo,90.2,MEDIO
300,10.0,Vehiculo,92.8,MEDIO
301,10.03,Vehiculo,92.0,MEDIO
302,10.07,Vehiculo,91.6,MEDIO
303,10.1,Vehiculo,90.4,MEDIO
312,10.4,Vehiculo,89.8,MEDIO
313,10.43,Vehiculo,88.0,MEDIO
314,10.47,Vehiculo,87.6,MEDIO
315,10.5,Vehiculo,90.0,MEDIO
316,10.53,Vehiculo,88.3,MEDIO
317,10.57,Vehiculo,89.6,MEDIO
318,10.6,Vehiculo,92.2,MEDIO
319,10.63,Vehiculo,93.1,MEDIO
320,10.67,Vehiculo,89.5,MEDIO
321,10.7,Vehiculo,92.7,MEDIO
322,10.73,Vehiculo,93.2,MEDIO
323,10.77,Vehiculo,92.9,MEDIO
324,10.8,Vehiculo,92.6,MEDIO
325,10.83,Vehiculo,92.1,MEDIO
326,10.87,Vehiculo,91.8,MEDIO
327,10.9,Vehiculo,91.2,MEDIO
328,10.93,Vehiculo,87.9,MEDIO
329,10.97,Vehiculo,86.7,MEDIO
330,11.0,Vehiculo,85.3,MEDIO
331,11.03,Vehiculo,84.1,MEDIO
332,11.07,Vehiculo,79.6,MEDIO
