Frame,Tiempo (Segundos),Objeto,Confianza (%),Nivel de Riesgo
117,3.9,Vehiculo,93.8,MEDIO
118,3.93,Vehiculo,94.2,MEDIO
119,3.97,Vehiculo,94.2,MEDIO
120,4.0,Vehiculo,94.3,MEDIO
121,4.03,Vehiculo,94.1,MEDIO
122,4.07,Vehiculo,94.0,MEDIO
123,4.1,Vehiculo,93.2,MEDIO
124,4.13,Vehiculo,92.7,MEDIO
125,4.17,Vehiculo,93.4,MEDIO
647,21.57,Vehiculo,93.1,MEDIO
649,21.63,Vehiculo,91.8,MEDIO
650,21.67,Vehiculo,91.2,MEDIO
651,21.7,Vehiculo,93.0,MEDIO
653,21.77,Vehiculo,93.3,MEDIO
654,21.8,Vehiculo,93.1,MEDIO
655,21.83,Vehiculo,93.1,MEDIO
915,30.5,Peaton,50.4,CRÍTICO
948,31.6,Peaton,51.8,CRÍTICO
949,31.63,Peaton,45.4,CRÍTICO
951,31.7,Peaton,43.4,CRÍTICO
952,31.73,Peaton,67.4,CRÍTICO
953,31.77,Peaton,72.3,CRÍTICO
954,31.8,Peaton,74.5,CRÍTICO
955,31.83,Peaton,75.3,CRÍTICO
956,31.87,Peaton,66.8,CRÍTICO
957,31.9,Peaton,74.3,CRÍTICO
958,31.93,Peaton,53.8,CRÍTICO
959,31.97,Peaton,51.5,CRÍTICO
960,32.0,Peaton,52.2,CRÍTICO
962,32.07,Peaton,61.6,CRÍTICO
962,32.07,Dos_Ruedas,47.4,CRÍTICO
963,32.1,Dos_Ruedas,44.4,CRÍTICO
964,32.13,Dos_Ruedas,47.5,CRÍTICO
966,32.2,Peaton,55.4,CRÍTICO
967,32.23,Dos_Ruedas,46.6,CRÍTICO
968,32.27,Peaton,59.8,CRÍTICO
968,32.27,Dos_Ruedas,45.5,CRÍTICO
969,32.3,Dos_Ruedas,67.6,CRÍTICO
970,32.33,Dos_Ruedas,60.8,CRÍTICO
971,32.37,Peaton,56.7,CRÍTICO
972,32.4,Peaton,47.9,CRÍTICO
974,32.47,Peaton,53.7,CRÍTICO
975,32.5,Peaton,75.1,CRÍTICO
976,32.53,Peaton,78.0,CRÍTICO
977,32.57,Peaton,82.0,CRÍTICO
978,32.6,Peaton,83.5,CRÍTICO
979,32.63,Peaton,79.2,CRÍTICO
980,32.67,Peaton,76.7,CRÍTICO
981,32.7,Peaton,69.0,CRÍTICO
981,32.7,Peaton,51.3,CRÍTICO
982,32.73,Peaton,82.0,CRÍTICO
983,32.77,Peaton,83.2,CRÍTICO
983,32.77,Peaton,41.4,CRÍTICO
984,32.8,Peaton,85.0,CRÍTICO
985,32.83,Peaton,58.1,CRÍTICO
986,32.87,Peaton,60.6,CRÍTICO
987,32.9,Dos_Ruedas,53.4,CRÍTICO
988,32.93,Peaton,40.1,CRÍTICO
991,33.03,Peaton,46.0,CRÍTICO
